imdb_title_id,title,original_title,Combined,Poster
tt0020286,Prapancha Pash,Prapancha Pash,Prapancha Pash  Adventure  Drama  Romance Franz Osten  Niranjan Pal  W A  Burton  Seeta Devi  Himanshu Rai  Charu Roy  Modhu Bose  Sarada Gupta  Tincory Chakrabarty  Lala Bijoykishen  Two neighboring Indian kingdoms are ruled by cousins - King Ranjit and King Sohat  Unbeknownst to Ranjit  Sohat is plotting to seize control of his kingdom ,https://image.tmdb.org/t/p/original/pLz24vUaBG19sqrIZSuuD67ALfv.jpg
tt0021594,Alam Ara,Alam Ara,Alam Ara  Drama  Fantasy Ardeshir Irani  Joseph David  Joseph David  Master Vithal  Zubeida  Jillo  Sushila  Prithviraj Kapoor  Elizer  W M  Khan  Jagdish Sethi  L V  Prasad  A period fantasy that told of the ageing king of Kamarpur  and his two rival queens  Navbahar and Dilbahar  and their rivalry when a fakir predicts that Navbahar will bear the king's heir     ,https://image.tmdb.org/t/p/original/vSKx8fldyR3wftbqzRqSN9qQ1Ev.jpg
tt0028217,Sant Tukaram,Sant Tukaram,Sant Tukaram  Biography Vishnupant Govind Damle  Sheikh Fattelal  Shivram Vashikar  Vishnupant Pagnis  Gauri  B  Nandrekar  Shankar Kulkarni  Kusum Bhagwat  Shanta Majumdar  Master Chhotu  Pandit Damle  Kaka Bhagvat  Sri Bhagwat  This classic film chronicles the life of Tukaram (17th C )  one of Maharashtra's most popular saint poets  activating the 20th-C  resonances of his turning away from courtly Sanskrit    ,https://image.tmdb.org/t/p/original/8KpgTQ3y8dT8jDqNru5clqrybUj.jpg
tt0040067,Aag,Aag,Aag  Musical  Romance Raj Kapoor  Inder Raj Anand  Inder Raj Anand  Nargis  Kamini Kaushal  Nigar Sultana  Kamal Kapoor  Indumati  Prem Nath  Raj Kapoor  Vishwa Mehra  Shree Ram  Brijmohan  M C  Kapoor  Pushpa  Shankar  Sandow  S  Sethi  Failing to move on from his loss of childhood love  a man turns to his passion for theater ,https://image.tmdb.org/t/p/original/sWjGJEdVFXpPJeJ74DUwbMumZGI.jpg
tt0041123,Andaz,Andaz,Andaz  Musical  Drama  Crime Mehboob Khan  Shams Lucknowi  S  Ali Raza  Nargis  Dilip Kumar  V H  Desai  Cuckoo  Raj Kapoor  Murad  Anwari  Amir Banu  Jamshedji  Abbas  Wasker  Abdul  Dyke  Dilip loves Neena  but she treats him only as a friend  Later she gets married to Rajan  When he comes to know that Dilip once loved Neena  he misunderstands them and things change a lot then ,https://image.tmdb.org/t/p/original/fGHoe9OgHF9W8L75Ze2JGvaJaE6.jpg
tt0041161,Barsaat,Barsaat,Barsaat  Drama  Romance  Musical Raj Kapoor  Ramanand Sagar  Ramanand Sagar  Nargis  Raj Kapoor  Prem Nath  K N  Singh  Cuckoo  Nimmi  B M  Vyas  Ratan Gaurang  Vishwa Mehra  Dolly Baldev  B N  Khera  Prakash Arora  Pushpa Bimla  Master Sandow  Pran and Gopal fall in love with village girls while on a holiday  After returning home  Gopal continues to flirt with other girls  But Pran realizes that he has truly fallen in love ,https://image.tmdb.org/t/p/original/rad4CCN65SOKyGmSRvdMhp9cVZy.jpg
tt0041619,Mahal,Mahal,Mahal  Drama  Horror  Mystery Kamal Amrohi  Kamal Amrohi  Ashok Kumar  Madhubala  M  Kumar  Vijayalaxmi  Kanu Roy  S  Nazir  Eruch Tarapore  Sheela Naik  Leela Pandey  Neelam  Kaneez  Jagannath  Mohsin  Laxman Rao  S A  Baker  A young lawyer is involved with a ghostly woman in his new house  where the builder and his fiancée died shortly after it was built ,https://image.tmdb.org/t/p/original/dasVnQij6Lvbpu7qoogprheITva.jpg
tt0043306,Awaara,Awaara,Awaara  Drama  Musical  Romance Raj Kapoor  Khwaja Ahmad Abbas  Khwaja Ahmad Abbas  Raj Kapoor  Nargis  Prithviraj Kapoor  K N  Singh  Shashi Kapoor  Cuckoo  B M  Vyas  Leela Mishra  Baby Zubeida  Leela Chitnis  Honey O'Brien  Om Prakash Mehra  Raju  Mansaram  Rajan  A poor young man named Raj joins a criminal gang to feed his mother  But when he falls in love with Rita  he decides to reform himself for her ,https://image.tmdb.org/t/p/original/njaaQO1JZRtypogw5IPLtTlOSLI.jpg
tt0043307,Baazi,Baazi,Baazi  Crime  Drama  Musical Guru Dutt  Guru Dutt  Balraj Sahni  Dev Anand  Geeta Bali  Kalpana Kartik  Roopa Verman  K N  Singh  Johnny Walker  Krishan Dhawan  Rashid Khan  Habib  Srinath  Rashid Ahmed  Abu Baker  Nirmal Kumar  An ace gambler is forced to join a gambling syndicate in order to pay for the treatment of his ill sister and is framed for murder when he expresses his desire to get out ,https://image.tmdb.org/t/p/original/5b2IzoYTj1nKhN2HDOkkpaYzITW.jpg
tt0043908,Pathala Bhairavi,Pathala Bhairavi,Pathala Bhairavi  Action  Adventure  Family Kadiri Venkata Reddy  Kamalakara Kameshwara Rao  Pingali Nagendra Rao  Taraka Rama Rao Nandamuri  S V  Ranga Rao  Malathi K   Seeta Rama Anjaneyulu Chilakalapudi  Relangi Venkatramaiah  Balakrishnan  Padmanabham  Kamala Devi T G   Lakshmikantam  Hemalathamma Rao  Girija  Surabhi Kamalabai  Chitti  A poor man  in love with a princess  is persuaded by an evil sorcerer to help him get the blessing of a Goddess ,https://image.tmdb.org/t/p/original/1W4Tox7QXHUtMutfLqJgwX3mxz4.jpg
